x	w
0.705398896919887533667e-1	0.168746801851113862149	
0.372126818001611443794		0.291254362006068281717	
0.916582102483273564668		0.266686102867001288550	
0.170730653102834388069e1	0.166002453269506840031	
0.274919925530943212965e1	0.748260646687923705401e-1	
0.404892531385088692237e1	0.249644173092832210728e-1	
0.561517497086161651410e1	0.620255084457223684745e-2	
0.745901745367106330977e1	0.114496238647690824204e-2	
0.959439286958109677247e1	0.155741773027811974780e-3	
0.120388025469643163096e2	0.154014408652249156894e-4	
0.148142934426307399785e2	0.108648636651798235148e-5	
0.179488955205193760174e2	0.533012090955671475093e-7	
0.214787882402850109757e2	0.175798117905058200358e-8	
0.254517027931869055035e2	0.372550240251232087263e-10	
0.299325546317006120067e2	0.476752925157819052449e-12	
0.350134342404790000063e2	0.337284424336243841237e-14	
0.408330570567285710620e2	0.115501433950039883096e-16	
0.476199940473465021399e2	0.153952214058234355346e-10	
0.558107957500638988908e2	0.528644272556915782880e-23	
0.665244165256157538186e2	0.165645661249902329591e-27	
